audit_group,bucket,method,l2_key,scene_frame,l2_item,family,question_index,question_id,question,answer,predicted,image_path,auto_valid_failure,auto_issue_type,auto_confidence,auto_notes,manual_valid_failure,manual_issue_type,manual_notes
advtest_only_l2_001,advtest_only_l2,advtest,scene-0092_frame39::barrier13|barrier5|barrier37,scene-0092_frame39,barrier13|barrier5|barrier37,converge,397,193,"What barrier is to the front of barrier13 and to the front of barrier37, and to the back of barrier8, and to the back of barrier23?",barrier5,The barrier in front of barrier13 and barrier37 is a metal fence.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0092_frame39_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_002,advtest_only_l2,advtest,scene-0036_frame19::pedestrian4|barrier10|truck2,scene-0036_frame19,pedestrian4|barrier10|truck2,converge,264,92,"What barrier is positioned to the back of ego and also to the back right of pedestrian4, and to the back left of truck2, and to the back of barrier13?",barrier10,"A barrier is positioned to the back of ego and also to the back right of pedestrian4, and to the back left of truck2, and to the back of barrier13.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0036_frame19_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_003,advtest_only_l2,advtest,scene-0102_frame39::pedestrian12|pedestrian4|pedestrian2,scene-0102_frame39,pedestrian12|pedestrian4|pedestrian2,converge,805,30,"What pedestrian is positioned to the back of pedestrian12 and also to the front of pedestrian7, and to the front of pedestrian2, and to the back of pedestrian10?",pedestrian4,"The pedestrian positioned to the back of pedestrian12 and also to the front of pedestrian7, and to the front of pedestrian2, and to the back of pedestrian10 is pedestrian",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0102_frame39_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_004,advtest_only_l2,advtest,scene-0102_frame31::car3|pedestrian32|ego,scene-0102_frame31,car3|pedestrian32|ego,converge,794,102,"There is a pedestrian to the front of car3 and to the back left of pedestrian1, and to the front of pedestrian34, and to the back of ego; what is it?",pedestrian32,It is a bridge.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0102_frame31_mosaic.jpg,uncertain,other,low,Heuristic cannot confidently classify this failure; manual review required.,uncertain,other,ASSISTED_REVIEW: retained as uncertain because auto-prefill confidence is low. Heuristic cannot confidently classify this failure; manual review required.
advtest_only_l2_005,advtest_only_l2,advtest,scene-0035_frame14::car4|car2|car8,scene-0035_frame14,car4|car2|car8,converge,120,106,"Which car can be found to the front of car1 and to the front of car4, and to the back of car7, and to the front of car8?",car2,"The car that can be found to the front of car1 and to the front of car4, and to the back of car7, and to the front of car8 is a white car.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame14_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_006,advtest_only_l2,advtest,scene-0098_frame15::barrier7|car16|car14,scene-0098_frame15,barrier7|car16|car14,converge,562,91,"What car is to the back right of barrier7 and to the back of car2, and to the front of car14, and to the back of car5?",car16,"The car to the back right of barrier7 and to the back of car2, and to the front of car14, and to the back of car5 is a black car.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0098_frame15_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_007,advtest_only_l2,advtest,scene-0098_frame15::barrier4|barrier7|car6,scene-0098_frame15,barrier4|barrier7|car6,converge,565,177,"Which barrier can be found to the back left of car2 and to the back of car6, and to the back of barrier2, and to the front of barrier4?",barrier7,"The barrier can be found to the back left of car2 and to the back of car6, and to the back of barrier2, and to the front of barrier4.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0098_frame15_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_008,advtest_only_l2,advtest,scene-0102_frame31::pedestrian11|pedestrian16|pedestrian19,scene-0102_frame31,pedestrian11|pedestrian16|pedestrian19,converge,782,9,"There is a pedestrian to the back of pedestrian19 and to the back of pedestrian4, and to the front of pedestrian11; what is it?",pedestrian16,"The pedestrian is located in the middle of the image, between pedestrian19 and pedestrian4, and in front of pedestrian11.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0102_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_009,advtest_only_l2,advtest,scene-0013_frame31::car5|bicycle2|ego,scene-0013_frame31,car5|bicycle2|ego,converge,27,25,Which bicycle can be found to the front left of car5 and to the back right of ego?,bicycle2,The bicycle can be found to the front left of car5 and to the back right of ego.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
advtest_only_l2_010,advtest_only_l2,advtest,scene-0099_frame35::car10|barrier23|trailer1,scene-0099_frame35,car10|barrier23|trailer1,converge,642,193,"Which barrier can be found to the back right of car10 and to the front right of trailer1, and to the front of pedestrian2, and to the back of barrier31?",barrier23,"The barrier can be found to the back right of car10 and to the front right of trailer1, and to the front of pedestrian2, and to the back of barrier31.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame35_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
