adjudication_id,selection_reason,human_valid_failure,human_issue_type,human_agrees_with_assisted,human_notes,audit_group,bucket,method,l2_key,scene_frame,l2_item,family,question_index,question_id,question,answer,predicted,image_path,auto_valid_failure,auto_issue_type,auto_confidence,auto_notes,manual_valid_failure,manual_issue_type,manual_notes
rq1_adjudication_001,all_uncertain,,,,,advtest_only_l2_004,advtest_only_l2,advtest,scene-0102_frame31::car3|pedestrian32|ego,scene-0102_frame31,car3|pedestrian32|ego,converge,794,102,"There is a pedestrian to the front of car3 and to the back left of pedestrian1, and to the front of pedestrian34, and to the back of ego; what is it?",pedestrian32,It is a bridge.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0102_frame31_mosaic.jpg,uncertain,other,low,Heuristic cannot confidently classify this failure; manual review required.,uncertain,other,ASSISTED_REVIEW: retained as uncertain because auto-prefill confidence is low. Heuristic cannot confidently classify this failure; manual review required.
rq1_adjudication_002,stratified_assisted_yes,,,,,advtest_only_l2_010,advtest_only_l2,advtest,scene-0099_frame35::car10|barrier23|trailer1,scene-0099_frame35,car10|barrier23|trailer1,converge,642,193,"Which barrier can be found to the back right of car10 and to the front right of trailer1, and to the front of pedestrian2, and to the back of barrier31?",barrier23,"The barrier can be found to the back right of car10 and to the front right of trailer1, and to the front of pedestrian2, and to the back of barrier31.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame35_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
rq1_adjudication_003,stratified_assisted_yes,,,,,advtest_only_l2_015,advtest_only_l2,advtest,scene-0094_frame7::car12|car6|ego,scene-0094_frame7,car12|car6|ego,viewpoint_transfer,444,49,"If you face from car12 toward car6, is ego on your left or on your right?",left,"If you face from car12 toward car6, ego is on your right.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,high,Expected left; prediction says right.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=high). Expected left; prediction says right.
rq1_adjudication_004,stratified_assisted_yes,,,,,advtest_only_l2_021,advtest_only_l2,advtest,scene-0036_frame17::barrier21|barrier23|pedestrian1,scene-0036_frame17,barrier21|barrier23|pedestrian1,converge,238,159,"Identify the barrier located to the front of pedestrian1 and to the front of pedestrian9, and to the back right of ego, and to the back of barrier21.",barrier23,"The barrier is located to the front of pedestrian1 and to the front of pedestrian9, and to the back right of ego, and to the back of barrier21.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0036_frame17_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
rq1_adjudication_005,stratified_assisted_yes,,,,,advtest_only_l2_024,advtest_only_l2,advtest,scene-0035_frame14::car14|car7|car8,scene-0035_frame14,car14|car7|car8,converge,105,173,"Identify the car located to the front of car14 and to the front of car8, and to the front left of ego, and to the front of car9.",car7,"The car is located to the front of car14 and to the front of car8, and to the front left of ego, and to the front of car9.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame14_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
rq1_adjudication_006,stratified_assisted_no,,,,,advtest_only_l2_028,advtest_only_l2,advtest,scene-0101_frame25::barrier5|barrier11|car6,scene-0101_frame25,barrier5|barrier11|car6,converge,747,96,"There is a barrier to the back of barrier5 and to the front right of car6, and to the back right of truck2, and to the front of barrier26; what is it?",barrier11,It is a construction barrier.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0101_frame25_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
rq1_adjudication_007,stratified_assisted_yes,,,,,advtest_only_l2_029,advtest_only_l2,advtest,scene-0035_frame39::bus1|pedestrian4|car3,scene-0035_frame39,bus1|pedestrian4|car3,converge,174,22,"There is a pedestrian to the back of bus1 and to the back of car3, and to the back of pedestrian1; what is it?",pedestrian4,It is a bus.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame39_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
rq1_adjudication_008,stratified_assisted_no,,,,,advtest_only_l2_033,advtest_only_l2,advtest,scene-0097_frame37::car12|car9|pedestrian6,scene-0097_frame37,car12|car9|pedestrian6,converge,526,11,"What car is to the front left of pedestrian1 and to the back left of pedestrian6, and to the front right of car12?",car9,The car is a BMW.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0097_frame37_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
rq1_adjudication_009,stratified_assisted_yes,,,,,advtest_only_l2_036,advtest_only_l2,advtest,scene-0101_frame25::barrier33|barrier10|barrier38,scene-0101_frame25,barrier33|barrier10|barrier38,converge,738,174,"Identify the barrier located to the back left of barrier38 and to the front of truck2, and to the front of barrier33, and to the back right of barrier28.",barrier10,"The barrier is located to the back left of barrier38 and to the front of truck2, and to the front of barrier33, and to the back right of barrier28.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0101_frame25_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
rq1_adjudication_010,stratified_assisted_no,,,,,advtest_only_l2_040,advtest_only_l2,advtest,scene-0092_frame39::barrier11|barrier43|ego,scene-0092_frame39,barrier11|barrier43|ego,converge,385,135,"There is a barrier to the back of barrier38 and to the back left of ego, and to the front of truck1, and to the back of barrier11; what is it?",barrier43,The barrier is a metal fence.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0092_frame39_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
rq1_adjudication_011,stratified_assisted_no,,,,,advtest_only_l2_049,advtest_only_l2,advtest,scene-0099_frame35::ego|barrier21|pedestrian7,scene-0099_frame35,ego|barrier21|pedestrian7,converge,602,60,"There is a barrier to the back of barrier19 and to the back of pedestrian7, and to the back right of ego, and to the back of barrier7, and to the front of barrier11; what is it?",barrier21,It is a barrier.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame35_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
rq1_adjudication_012,all_uncertain,,,,,advtest_only_l2_050,advtest_only_l2,advtest,scene-0102_frame39::pedestrian2|pedestrian10|pedestrian4,scene-0102_frame39,pedestrian2|pedestrian10|pedestrian4,converge,823,14,"There is a pedestrian to the front left of car1 and to the front of pedestrian2, and to the front of pedestrian4; what is it?",pedestrian10,It is a traffic light.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0102_frame39_mosaic.jpg,uncertain,other,low,Heuristic cannot confidently classify this failure; manual review required.,uncertain,other,ASSISTED_REVIEW: retained as uncertain because auto-prefill confidence is low. Heuristic cannot confidently classify this failure; manual review required.
rq1_adjudication_013,stratified_assisted_no,,,,,advtest_only_l2_052,advtest_only_l2,advtest,scene-0099_frame35::car15|barrier12|pedestrian6,scene-0099_frame35,car15|barrier12|pedestrian6,converge,601,6,"What barrier is to the back of car15 and to the front right of pedestrian6, and to the back left of pedestrian2, and to the front of barrier3, and to the back of barrier18?",barrier12,The barrier is a construction barrier.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0099_frame35_mosaic.jpg,no,answer_granularity_mismatch,medium,Prediction gives the object category/description but omits the required instance id.,no,answer_granularity_mismatch,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction gives the object category/description but omits the required instance id.
rq1_adjudication_014,stratified_assisted_yes,,,,,advtest_only_l2_054,advtest_only_l2,advtest,scene-0035_frame14::barrier1|car5|car10,scene-0035_frame14,barrier1|car5|car10,converge,106,124,"Identify the car located to the front of barrier1 and to the back of car11, and to the back of car4, and to the back right of car10.",car5,"The car is located to the front of barrier 1 and to the back of car 11, and to the back of car 4, and to the back right of car 10.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0035_frame14_mosaic.jpg,yes,valid_visual_or_structural_error,medium,Prediction points to a different object/category or wrong candidate id.,yes,valid_visual_or_structural_error,ASSISTED_REVIEW: copied from auto-prefill (confidence=medium). Prediction points to a different object/category or wrong candidate id.
