audit_group,bucket,method,l2_key,scene_frame,l2_item,family,question_index,question_id,question,answer,predicted,image_path,manual_valid_failure,manual_issue_type,manual_notes
advtest_only_l2_001,advtest_only_l2,advtest,scene-0013_frame31::bicycle2|bus1|car5,scene-0013_frame31,bicycle2|bus1|car5,converge,32,32,What bus is to the front of bicycle2 and to the front of car5?,bus1,The bus is to the front of bicycle2 and to the front of car5.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,no,answer_granularity_mismatch,Model gives only a generic bus/relation and never provides the required instance id bus1.
advtest_only_l2_002,advtest_only_l2,advtest,scene-0013_frame31::car4|car1|car5,scene-0013_frame31,car4|car1|car5,direction_chain,44,44,"From car1's perspective, are car4 and car5 in the same direction?",False,"Yes, from car1's perspective, car4 and car5 are in the same direction.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,"GT is False but model answers Yes, reversing the direction-chain relation."
advtest_only_l2_003,advtest_only_l2,advtest,scene-0013_frame31::car4|bus1|ego,scene-0013_frame31,car4|bus1|ego,distance_chain,11,87,"Which object is bus1 nearer to, car4 or ego?",ego,Bus1 is nearer to car4.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,GT says bus1 is nearer to ego; model chooses car4.
advtest_only_l2_004,advtest_only_l2,advtest,scene-0094_frame7::car12|car6|ego,scene-0094_frame7,car12|car6|ego,viewpoint_transfer,444,49,"If you face from car12 toward car6, is ego on your left or on your right?",left,"If you face from car12 toward car6, ego is on your right.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,GT is left; model answers right for the viewpoint-transfer query.
advtest_only_l2_005,advtest_only_l2,advtest,scene-0013_frame31::bicycle2|car1|car2,scene-0013_frame31,bicycle2|car1|car2,converge,6,14,"There is a car to the front right of bicycle2 and to the back right of ego, and to the front left of car2; what is it?",car1,It is a bus.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,"Question asks for car1; model answers bus, a wrong object/category."
advtest_only_l2_006,advtest_only_l2,advtest,scene-0094_frame7::barrier2|car11|car12,scene-0094_frame7,barrier2|car11|car12,direction_chain,448,53,"From car11's perspective, are barrier2 and car12 in the same direction?",False,"Yes, from car11's perspective, barrier2 and car12 are in the same direction.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,GT is False but model answers Yes for same-direction relation.
advtest_only_l2_007,advtest_only_l2,advtest,scene-0094_frame7::car11|barrier2|car12,scene-0094_frame7,car11|barrier2|car12,distance_chain,447,52,"Which object is barrier2 nearer to, car11 or car12?",car12,Barrier2 is nearer to car11.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0094_frame7_mosaic.jpg,yes,valid_visual_or_structural_error,GT says barrier2 is nearer to car12; model chooses car11.
advtest_only_l2_008,advtest_only_l2,advtest,scene-0013_frame31::bicycle2|car1|car4,scene-0013_frame31,bicycle2|car1|car4,converge,39,39,"There is a car to the front right of bicycle2 and to the front left of car4, and to the front left of car2; what is it?",car1,It is a bus.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,"Question asks for car1; model answers bus, a wrong object/category."
advtest_only_l2_009,advtest_only_l2,advtest,scene-0013_frame31::bicycle2|car1|ego,scene-0013_frame31,bicycle2|car1|ego,converge,6,14,"There is a car to the front right of bicycle2 and to the back right of ego, and to the front left of car2; what is it?",car1,It is a bus.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,"Question asks for car1; model answers bus, a wrong object/category."
advtest_only_l2_010,advtest_only_l2,advtest,scene-0013_frame31::bicycle2|car2|bus1,scene-0013_frame31,bicycle2|car2|bus1,converge,3,23,"What car is to the front right of bicycle2 and to the back of bus1, and to the back right of car1?",car2,"The car is to the front right of bicycle2 and to the back of bus1, and to the back right of car1.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,no,answer_granularity_mismatch,Model restates the relational description but omits the required instance id car2.
advtest_only_l2_011,advtest_only_l2,advtest,scene-0013_frame31::bicycle2|car2|car1,scene-0013_frame31,bicycle2|car2|car1,converge,3,23,"What car is to the front right of bicycle2 and to the back of bus1, and to the back right of car1?",car2,"The car is to the front right of bicycle2 and to the back of bus1, and to the back right of car1.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,no,answer_granularity_mismatch,Model restates the relational description but omits the required instance id car2.
advtest_only_l2_012,advtest_only_l2,advtest,scene-0013_frame31::bicycle2|car4|car5,scene-0013_frame31,bicycle2|car4|car5,converge,8,3,What car is positioned to the back right of bicycle2 and also to the front right of car5?,car4,A car is positioned to the back right of bicycle2 and also to the front right of car5.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,no,answer_granularity_mismatch,Model says only a generic car and omits the required instance id car4.
random_only_l2_001,random_only_l2,random,scene-0018_frame39::barrier2|barrier8|pedestrian4,scene-0018_frame39,barrier2|barrier8|pedestrian4,converge,85,195,Identify the barrier located to the front of barrier2 and to the back of pedestrian4.,barrier8,The barrier is located to the front of barrier2 and to the back of pedestrian4.,E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0018_frame39_mosaic.jpg,no,answer_granularity_mismatch,Model gives only a generic barrier/relation and never provides the required instance id barrier8.
random_only_l2_002,random_only_l2,random,scene-0013_frame31::bus1|bicycle2|car1,scene-0013_frame31,bus1|bicycle2|car1,direction_chain,2,60,"Considering the direction from bus1 to bicycle2, is car1 in a similar direction from bicycle2?",False,"Yes, car1 is in a similar direction from bicycle2. Both car1 and bicycle2 are traveling down the same street, which is a two-lane road.",E:\Project\ADVTEST\scratch\rq1_mplug_call1000\runs\mplug-four-methods-call1000\results\mosaics\scene-0013_frame31_mosaic.jpg,yes,valid_visual_or_structural_error,GT is False but model answers Yes and adds an unsupported same-direction explanation.
